NO.,CD,APN,Cnt_APN,ADDRESS,INTERSECTION,"LAND ""SQFT""",ACCESS,ZONING,TBpg,Topography,TYPE,STATUS,SOURCE OF FUNDS,est $/SF 3/08,Formula  3/08,"CLASS ""C"" 3/08",Remarks by Appraisal,Field_Checked,PHASE,SYNOPSIS COMMENTS
162,11,4247031900,1,,Centinela Ave./Woodbine St.,500.01,Yes,R1-1,672-B2,Hillside,SR,Back lot line,,3,1500,"$1,500 ",Generally rectangular.,No,3,
163,11,4249032900,1,,Tabor St./Swatell Blvd.,204.01,Yes,R1-1,672-D2,Hillside,SR,Back lot line,,3,612,$600 ,Generally rectangular.,No,3,
164,11,4405027900,1,,Canyon View Dr./Sunset Blvd.,705.54,Yes,RA-1,631-E3,Hillside,SR,Back lot line,,,0,"$2,125 ",Generally rectangular.,No,2,
165,11,4405027901,3,,Canyon View Dr./Sunset Blvd.,2681.75,Yes,RA-1,631-E3,Hillside,SR,Back lot line,,,0,"$8,050 ",Generally rectangular.,No,2,
166,11,4405027902,1,,Canyon View Dr./Sunset Blvd.,992.77,Yes,RA-1,631-E3,Hillside,SR,Back lot line,,,0,"$2,975 ",Generally rectangular.,No,2,
167,11,4411030900,1,,Pacific Coast Hwy./Chautauqua Blvd.,978.14,Yes,RE20-1,631-A7,Hillside,SR,Sliver in back lot,,,0,"$2,950 ",Generally rectangular.,No,2,
168,12,2678016900,1,,Mayall St./Odessa Ave.,1068.96,Yes,RS-1,501-E4,Hillside,SF,Stormdrain access ???,,3,3207,"$3,000 ",Generally rectangular.,Yes,1,
169,12,2678020901,1,,Mayall St./Odessa Ave.,2296.37,Yes,RS-1,501-E4,Hillside,SF,Stormdrain access ???,,3,6889,"$7,000 ",Generally rectangular.,No,1,
170,12,2689016900,1,,Chase St./Rubio Ave.,3503.36,Yes,RA-1,531-D1,Level,SF,Alley / Lot,,,0,N/A,<NOT FOUND>,Yes,1,
171,13,5440029900,1,2601 Riverside Terr.,Riverside Terr./Riverside Dr.,25.8,Yes,R2-1VL,594-F4,Hillside,SF,Sliver in front yard,,,0,$25 ,Triangular.,Yes,2,
172,13,5546009901,5,,Selma Ave./Vine St.,1855.98,Yes,C4-2D,593-F4,Level,SF,Entire side lot,,,,"$80,000 ",Possibly sold to CRA*. Irregular.,Yes,2,"APN No longer exists-Sold to CRA for the Encore Hall Sr. Housing Proj. Aug. 09, 2005 - currently part of APN 5546-009-043"
173,13,5419025901,1,,Scott Ave./Laveta Terr,324.3,Yes,R2-1VL,594-E6,Hillside,SR,Rear of property,,,0,$975 ,Generally rectangular.,No,2,
174,13,5419025902,1,,Scott Ave./Laveta Terr,324.03,Yes,R2-1VL,594-E6,Hillside,SR,Rear of property,,,0,$975 ,Generally rectangular.,No,2,903 adjoining
175,13,5439004900,1,,Edgewater Terr./Deane St.,66.91,Yes,R1-1VL,594-E4,Hillside,SR,Sliver at rear of property,,,0,$75 ,Irregular.,No,2,
176,13,5442024902,3,,Riverside Dr./Ripple St.,1370.95,Yes,R2-1VL,594-F4,Level,SR,Sliver in rear of several properti,,,0,"$1,375 ",Generally rectangular.,No,2,"903 adjoining.  Assessor map indicates 4,720 S.F."
177,13,5545007900,1,,Gordon St./Carlton Way,185.85,Yes,[Q]R4-1VL,593-G4,Level,SR,Side yard of property,,,0,$200 ,Generally rectangular.,No,2,
178,13,5546009902,2,,Vine St./Selma Ave.,470.32,Yes,C4-2D,593-F4,Level,SR,Side lot,,,0,"$20,000 ",Possibly sold to CRA*. Irregular.,No,2,"APN No longer exists-Sold to CRA for the Encore Hall Sr. Housing Proj. Aug. 09, 2005 - currently part of APN 5546-009-043"
179,14,5312028900,1,,Monterey Rd./Pine Crest Dr.,13.2,Yes,R1-1,595-E2,Hillside,SF,Sliver - in front yard,,,0,$25 ,Triangular.,Yes,2,
180,14,5171006900,1,622 Anderson,Anderson St./Whittier Blvd.,2302.28,Yes,M2-1,634-J5,Level,SF,Strip accross Building,,,0,"$45,000 ",Generally rectangular.,Yes,2,
181,14,5173017900,1,,Vignes St./Ducommun St.,635.01,Yes,M3-1,634-G4,Level,SF,Front of commercial prop,,,0,"$13,000 ",Generally rectangular.,Yes,2,Friedman Bag Company
182,14,5174017900,1,1430 Cesar E. Chavez,Warren St./Cesar E. Chavez Ave.,156.15,Yes,[Q]C2-1,634-J4,Hillside,SF,Entire Side Lot,,,0,$475 ,Generally rectangular.,Yes,2,
183,14,5186002900,1,,Euclid Ave./Lanfranco St.,134.54,Yes,R2-1,635-B6,Hillside,SF,Entire side yard,,,0,$150 ,Generally rectangular.,Yes,2,
