AIN,NOCLEAN,LIEN,VACANT
7423014038,0,,1
7423014042,0,,1
7423015001,0,,1
7423015002,0,,1
7423015003,0,,1
7423015004,0,,1
7423015020,0,,1
7423015023,0,,1
7423015024,0,,1
7423015030,0,,1
7423015031,0,,1
7424001029,0,,1
7424001051,0,,1
7424001052,0,,1
7424001053,0,,1
7424002005,0,,1
7424002006,0,,1
7424002009,0,,1
7424002010,0,,1
7424002011,0,,1
7424002016,0,,1
7424003006,0,,1
7424003007,0,,1
7424003034,0,,1
7424004001,0,,1
7424004002,0,,1
7424004006,0,,1
7424004013,0,,1
7424004014,0,,1
7424004019,0,,1
7424004024,0,,1
7424004025,0,,1
7424004035,0,,1
7424005025,0,,1
7424005027,0,,1
7424005059,0,,1
7424006001,0,,1
7424006012,0,,1
7424006013,0,,1
7424006024,0,,1
7424006025,0,,1
7424007031,0,,1
7424007032,0,,1
7424007042,0,,1
7424007043,0,,1
7424007044,0,,1
7424007045,0,,1
7424007046,0,,1
7424007047,0,,1
7424007048,0,,1
7424007049,0,,1
7424007050,0,,1
7424007051,0,,1
7424007052,0,,1
7424007053,0,,1
7424007054,0,,1
7424009025,0,,1
7424009029,0,,1
7424009038,0,,1
7424009040,0,,1
7424009049,0,,1
7424009050,0,,1
7424010009,0,,1
7424010035,0,,1
7424012003,0,,1
7424012004,0,,1
7424012005,0,,1
7424012006,0,,1
7424012007,0,,1
7424012008,0,,1
7424012009,0,,1
7424012010,0,,1
7424012011,0,,1
7424012012,0,,1
7424012025,0,,1
7424012026,0,,1
7424012900,0,,1
7424012901,0,,1
7424013001,0,,1
7424013002,0,,1
7424013003,0,,1
7424013004,0,,1
7424013005,0,,1
7424013006,0,,1
7424013007,0,,1
7424013009,0,,1
7424013010,0,,1
7424013011,0,,1
7424013012,0,,1
7424013013,0,,1
7424013014,0,,1
7424013015,0,,1
7424013018,0,,1
7424013019,0,,1
7424013020,0,,1
7424013021,0,,1
7424013027,0,,1
7424013030,0,,1
7424013900,0,,1
7424014076,0,,1
7424015013,0,,1
7424015014,0,,1
7424015021,0,,1
7424015059,0,,1
7424015060,0,,1
7424015063,0,,1
7424017903,0,,1
7424017904,0,,1
7424017905,0,,1
7424017912,0,,1
7424019022,0,,1
7424019023,0,,1
7424019026,0,,1
7424019045,0,,1
7424020001,0,,1
7424021027,0,,1
7424022022,0,,1
7424023003,0,,1
7424023004,0,,1
7424024040,0,,1
7424024045,0,,1
7424024047,0,,1
7424024049,0,,1
7424024050,0,,1
7424024051,0,,1
7424024052,0,,1
7424024055,0,,1
7424024056,0,,1
7424024057,0,,1
7424024058,0,,1
7424024059,0,,1
7424024060,0,,1
7424024061,0,,1
7424024062,0,,1
7424025015,0,,1
7424025017,0,,1
7424025018,0,,1
7424025019,0,,1
7424025020,0,,1
7424025025,0,,1
7424025026,0,,1
7424025027,0,,1
7424025028,0,,1
7424025030,0,,1
7424025031,0,,1
7424025034,0,,1
7424025035,0,,1
7424025037,0,,1
7424025039,0,,1
7424025040,0,,1
7424025041,0,,1
7424025044,0,,1
7424025049,0,,1
7424025900,0,,1
7440002270,0,,1
7440002812,0,,1
7440002813,0,,1
7442026020,0,,1
7445012045,0,,1
7445012046,0,,1
7445012067,0,,1
7445013021,0,,1
7445013022,0,,1
7445013024,0,,1
7446010013,0,,1
7446017005,0,,1
7447020035,0,,1
7447021001,0,,1
7447021002,0,,1
7447021003,0,,1
7447021005,0,,1
7447021006,0,,1
7447021007,0,,1
7447021036,0,,1
7447021901,0,,1
7447026030,0,,1
7447029013,0,,1
7447031039,0,,1
7448007001,1,940.04,1
7448018008,0,,1
7448018013,0,,1
7448018014,0,,1
7448018015,0,,1
7448018016,0,,1
7448018030,0,,1
7448018031,0,,1
7448018032,0,,1
7448019001,0,,1
7448019002,0,,1
7448019006,0,,1
7448019007,0,,1
7448020005,0,,1
7448020008,0,,1
7448020009,0,,1
7448025002,0,,1
7448025005,0,,1
7448025006,0,,1
7448025007,0,,1
7448025008,0,,1
7448025020,0,,1
7448025021,0,,1
7448025900,0,,1
7448033900,0,,1
7448033901,0,,1
7448033905,0,,1
7448033906,0,,1
7448033907,0,,1
7448033908,0,,1
7448033909,0,,1
7448033912,0,,1
7448033917,0,,1
7448033922,0,,1
7448034900,0,,1
7448034901,0,,1
7448034902,0,,1
7448034905,0,,1
7448034906,0,,1
7448034908,0,,1
7448034909,0,,1
7448034910,0,,1
7448034911,0,,1
7448034912,0,,1
7448034913,0,,1
7448034914,0,,1
7448034915,0,,1
7448034916,0,,1
7448034917,0,,1
7448034918,0,,1
7448034919,0,,1
7448034920,0,,1
7448034921,0,,1
7448034922,0,,1
7448034923,0,,1
7448034924,0,,1
7448035900,0,,1
7448035901,0,,1
7448035905,0,,1
7448035906,0,,1
7448035907,0,,1
7448035908,0,,1
7448035909,0,,1
7448035910,0,,1
7448035911,0,,1
7448035912,0,,1
7448035913,0,,1
7448035914,0,,1
7448035915,0,,1
7448035916,0,,1
7448035917,0,,1
7448035918,0,,1
7448035919,0,,1
7448035920,0,,1
7448035921,0,,1
7448035922,0,,1
7448035923,0,,1
7448035924,0,,1
7448035925,0,,1
7448035926,0,,1
7448035927,0,,1
7448035928,0,,1
7448035929,0,,1
7448035930,0,,1
7448035931,0,,1
7448035932,0,,1
7448035933,0,,1
7448035935,0,,1
7448036900,0,,1
7448036901,0,,1
7448036902,0,,1
7448036903,0,,1
7448036904,0,,1
7448036905,0,,1
7448036906,0,,1
7448036907,0,,1
7448036908,0,,1
7448036909,0,,1
7448036910,0,,1
7448036911,0,,1
7448036912,0,,1
7448036913,0,,1
7448036914,0,,1
7448036915,0,,1
7448036916,0,,1
7448036917,0,,1
7448036918,0,,1
7448036919,0,,1
7448036920,0,,1
7448036921,0,,1
7448036922,0,,1
7448036923,0,,1
7448036924,0,,1
7448036925,0,,1
7448036926,0,,1
7448036927,0,,1
7449001024,0,,1
7449014013,0,,1
7449014014,0,,1
7449024025,0,,1
7451003009,0,,1
7451017024,0,,1
7451018022,0,,1
7451020006,0,,1
7451020017,0,,1
7451027007,0,,1
7452034035,0,,1
7454006020,0,,1
7454034020,0,,1
7454034021,0,,1
7455005004,0,,1
7455007016,0,,1
7455012021,0,,1
7455012022,0,,1
7455013007,0,,1
7455023001,0,,1
7455023002,0,,1
7455023003,0,,1
7455023004,0,,1
7455023005,0,,1
7455023026,0,,1
7455025018,0,,1
7456011006,0,,1
7456019027,0,,1
7456021059,0,,1
7456028019,0,,1
7456029026,0,,1
7456033026,0,,1
7456034001,0,,1
7456034002,0,,1
7458011024,0,,1
7459025005,0,,1
7459025006,0,,1
7460004907,0,,1
7460027031,0,,1
7462009028,0,,1
7462010003,0,,1
7462027021,0,,1
7462030030,0,,1
7463004035,0,,1
7463016034,0,,1
7463016035,0,,1
7465025021,0,,1
7467002031,0,,1
7467009033,0,,1
7467010007,0,,1
7467010017,0,,1
7467010022,0,,1
7467011017,0,,1
7467012034,0,,1
7467015015,0,,1
7467029011,0,,1
7467030002,0,,1
7467030003,0,,1
7467030004,0,,1
7467030005,0,,1
7467030017,0,,1
7469001006,0,,1
7469001007,0,,1
7469007006,0,,1
7469012039,0,,1
7470008020,0,,1
7470008021,0,,1
7470021017,0,,1
7470022013,0,,1
7470022040,0,,1
7470024024,0,,1
7470024025,0,,1
7470025023,0,,1
7470030016,0,,1
7470030019,0,,1
7470031003,0,,1
7470031006,0,,1
7563002907,0,,1
7563002911,0,,1
7563002912,0,,1
7563002914,0,,1
7410002084,0,,1
7410005053,0,,1
7410009041,0,,1
7410009043,0,,1
7410028044,0,,1
7411002033,0,,1
7411002037,0,,1
7411004029,0,,1
7411005017,1,739.39,1
7411005018,1,739.39,1
7411008024,0,,1
7411011025,0,,1
7411011026,0,,1
7411011027,0,,1
7411011028,0,,1
7411011029,0,,1
7411011030,0,,1
7411011031,0,,1
7411011032,0,,1
7411011033,0,,1
7411011036,0,,1
7411011037,0,,1
7411011038,0,,1
7411011039,0,,1
7411011041,0,,1
7411011042,0,,1
7411011043,0,,1
7411012085,0,,1
7413001035,0,,1
7413018028,0,,1
7413018029,0,,1
7413018041,0,,1
7413019012,0,,1
7413019013,0,,1
7413019014,0,,1
7413019015,0,,1
7413019016,0,,1
7413019017,0,,1
7413019018,0,,1
7413019019,0,,1
7413020001,0,,1
7413020025,0,,1
7413020026,0,,1
7413020027,0,,1
7413020028,0,,1
7413020029,0,,1
7413020030,0,,1
7413020031,0,,1
7413020032,0,,1
7413020033,0,,1
7413020034,0,,1
7413020035,0,,1
7413020036,0,,1
7413020037,0,,1
7413020038,0,,1
7413020042,0,,1
7413021037,0,,1
7413021038,0,,1
7413021039,0,,1
7413021040,0,,1
7413021909,0,,1
7413021910,0,,1
7413021911,0,,1
7413021912,0,,1
7413021913,0,,1
7413021920,0,,1
7413021921,0,,1
7413021922,0,,1
7413021923,0,,1
7413021924,0,,1
7413021925,0,,1
7413021926,0,,1
7413024008,0,,1
7413024009,0,,1
7413024010,0,,1
7413024033,0,,1
7413024034,0,,1
7413024038,0,,1
7413024039,0,,1
7413024040,0,,1
7413024041,0,,1
7413024042,0,,1
7413024043,0,,1
7413024044,0,,1
7413024045,0,,1
7413024053,0,,1
7413024054,0,,1
7413024055,0,,1
7413024057,0,,1
7413024058,0,,1
7413024059,0,,1
7413024060,0,,1
7413024061,0,,1
7413024062,0,,1
7413024063,0,,1
7413024064,0,,1
7413024065,0,,1
7413024066,0,,1
7413024067,0,,1
7413024077,0,,1
7413024078,0,,1
7413024114,0,,1
7413024917,0,,1
7413031022,0,,1
7413031023,0,,1
7413031024,0,,1
7413033041,0,,1
7439007029,0,,1
7346001019,0,,1
7346011033,0,,1
7347001002,0,,1
7347001034,0,,1
7347001035,0,,1
7347001040,0,,1
7347001041,0,,1
7347004017,0,,1
7347006008,0,,1
7347006015,0,,1
7347009800,0,,1
7347011800,0,,1
7347012801,0,,1
7347012802,0,,1
7347013040,0,,1
7349002802,0,,1
7351003803,0,,1
7351027002,0,,1
7351027800,0,,1
7351027803,0,,1
7351027804,0,,1
7351034070,0,,1
7351034077,0,,1
7351034078,0,,1
7351034800,0,,1
7351034804,0,,1
7351034805,0,,1
7560026034,0,,1
7560026035,0,,1
7560028001,0,,1
7562001009,0,,1
7563018020,0,,1
7563029012,0,,1
6083016033,0,,1
6083016034,0,,1
6083016035,0,,1
6083016036,0,,1
6083017029,0,,1
6083025015,0,,1
6083025016,0,,1
6083028017,0,,1
6084005030,0,,1
6084010014,0,,1
6084033010,0,,1
6084033011,0,,1
6084033012,0,,1
6084033013,0,,1
6084033014,0,,1
6084033015,0,,1
6084033016,0,,1
6084033017,0,,1
6084033018,0,,1
6084033019,0,,1
6084033020,0,,1
6084033021,0,,1
6084033022,0,,1
6086002006,0,,1
6087008805,0,,1
6087008808,0,,1
6087008809,0,,1
6087012019,0,,1
6088014806,0,,1
6088014809,0,,1
6120023033,0,,1
6132001020,0,,1
6132002002,1,670.34,1
6132002003,1,670.34,1
6132002006,0,,1
6132002007,0,,1
6132002008,0,,1
6132002014,0,,1
6132002015,0,,1
6132002016,0,,1
6132002019,0,,1
6132002022,0,,1
6132012001,0,,1
6132012003,0,,1
6132012005,0,,1
6132015031,0,,1
6132015060,0,,1
6132015061,0,,1
6132017808,0,,1
6148014019,0,,1
4012001028,0,,1
4012030003,0,,1
4012030006,0,,1
4012030007,0,,1
4012030008,0,,1
4012030009,0,,1
6017001006,0,,1
6017002005,0,,1
6017002006,0,,1
6017002007,0,,1
6017002034,0,,1
6017004002,0,,1
6017004010,0,,1
6017004011,0,,1
6017004012,0,,1
6017004013,0,,1
6017004035,0,,1
6017008004,0,,1
6018002007,0,,1
6018003001,0,,1
6018003003,0,,1
6018003004,0,,1
6018003005,0,,1
6018003030,0,,1
6018003031,0,,1
6018003032,0,,1
6018003033,0,,1
6018005003,1,929.19,1
6018016011,0,,1
6019001001,0,,1
6019011001,1,799.99,1
6019019001,0,,1
6019020013,0,,1
6020001013,0,,1
6020001014,0,,1
6020001018,0,,1
6020002013,0,,1
6020006024,0,,1
6020009032,0,,1
6020013006,0,,1
6020019014,0,,1
6020020027,0,,1
6020027001,0,,1
6020028001,0,,1
6020031007,0,,1
6032002011,0,,1
6032002012,0,,1
6032002013,0,,1
6032004018,0,,1
6032005005,0,,1
6032005009,0,,1
6032005900,0,,1
6032010013,0,,1
6032010014,0,,1
6032010015,0,,1
6032012001,0,,1
6032012002,0,,1
6032012003,0,,1
6032012004,0,,1
6032012005,0,,1
6032012904,0,,1
6032012905,0,,1
6032013002,0,,1
6032013003,0,,1
6032013004,0,,1
6032013005,0,,1
6032013006,0,,1
6032013007,0,,1
6032013905,0,,1
6032017002,0,,1
6032017003,0,,1
6032021012,0,,1
6032021016,0,,1
6032025007,0,,1
6032026014,0,,1
6032028014,0,,1
6032031001,0,,1
6032031002,0,,1
6032031003,0,,1
6032031004,0,,1
6032031005,0,,1
6032031006,0,,1
6033005014,0,,1
6033013041,0,,1
6033026018,0,,1
6034026012,0,,1
6034029027,0,,1
6034029043,0,,1
6035001006,0,,1
6035017002,0,,1
6035017003,0,,1
6036017014,0,,1
6036017015,0,,1
6037001900,0,,1
6037014031,0,,1
6037015028,0,,1
6037021016,0,,1
6037021030,0,,1
6038001004,0,,1
6038003033,0,,1
6038003040,0,,1
6038004021,0,,1
6038010017,1,599.01,1
6038010018,0,,1
6038010027,1,1096.05,1
6038020033,0,,1
6038020034,0,,1
6054020002,0,,1
6054020003,0,,1
6054020004,0,,1
6054020005,0,,1
6054028016,0,,1
6054032001,0,,1
6054032002,0,,1
6054032005,0,,1
6055022030,0,,1
6058006004,0,,1
6059002030,0,,1
6061030031,0,,1
6075009037,0,,1
6075011011,0,,1
6075011020,0,,1
6075012022,0,,1
